Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
5.211314708,65.059615,25.46963,21.11553154,1.121065021,180.2200012,2.299999952,13.60000038
6.211314708,65.05961,25.46965167,24.01553584,1.189523101,178.0599976,2.0,12.30000019
7.211314708,65.059605,25.46968333,23.81554124,1.247171998,164.3899994,1.799999952,12.30000019
8.678314708,65.05959333,25.4697,24.31554752,1.315629959,177.1999969,1.700000048,11.89999962
9.678314708,65.059585,25.46969833,25.1155505,1.003708363,186.2700043,1.600000024,10.10000038
10.67831471,65.05957833,25.46970167,26.0155534,1.232759714,176.5299988,1.600000024,10.10000038
11.67831471,65.05956833,25.46969833,26.51555683,1.551887512,177.8600006,1.5,9.300000191
12.67831471,65.059555,25.4697,26.61556208,1.455119729,178.1000061,1.600000024,9.5
13.67831471,65.059545,25.46969167,26.91556496,0.9275294542,164.6600037,1.600000024,8.899999619
14.67831471,65.05953167,25.46968667,27.41556947,1.20959723,162.4700012,1.600000024,8.800000191
15.67831471,65.05951667,25.46968333,27.5155748,1.193126082,176.6100006,1.600000024,8.699999809
16.17831471,65.05950667,25.46968,27.51557823,1.115917802,177.3999939,1.600000024,8.199999809
16.67831471,65.05949833,25.46967333,27.31558065,0.7437736392,170.3500061,1.5,8.199999809
17.17831471,65.05949167,25.46966833,27.21558263,0.7561269403,176.4600067,1.399999976,8.199999809
18.67831471,65.059475,25.46966,27.81558804,1.131874204,183.7799988,1.5,8.300000191
19.67831471,65.05946167,25.46965667,27.71559274,1.151948333,168.1199951,1.5,8.699999809
20.67831471,65.05944833,25.46966167,27.71559835,1.501444697,177.4900055,1.399999976,9.300000191
21.67831471,65.05943167,25.46965833,27.31560432,1.537989974,183.7599945,1.399999976,9.800000191
22.67831471,65.05941833,25.46965333,26.91560883,1.172022462,178.1999969,1.399999976,10.19999981
23.67831471,65.05940333,25.46964667,26.61561379,1.19209671,184.5800018,1.399999976,10.69999981
24.67831471,65.05939,25.46963833,26.31561793,1.228641987,190.6799927,1.399999976,10.89999962
25.67831471,65.05937667,25.46963667,26.01562281,1.237392187,170.6300049,1.5,10.30000019
26.67831471,65.059365,25.46964333,25.61562798,1.283717275,167.1300049,1.399999976,10.19999981
27.67831471,65.059355,25.469645,25.31563196,1.345483899,177.2599945,1.399999976,10.0
28.67831471,65.05934333,25.46964167,24.81563603,1.349087,183.25,1.399999976,10.10000038
29.67831471,65.05933,25.46964333,24.61564128,1.348057508,184.9499969,1.399999976,9.899999619
30.67831471,65.05931833,25.46964833,24.51564626,1.328498006,179.1199951,1.399999976,10.10000038
31.67831471,65.059305,25.46965,24.21565151,1.323350787,192.5099945,1.399999976,10.10000038
32.67831471,65.05929,25.469645,23.91565665,1.309453368,193.8899994,1.399999976,10.5
33.67831471,65.05927833,25.46964833,23.71566145,1.30173254,184.5,1.399999976,10.80000019
34.67831471,65.05926333,25.46965333,23.61566771,1.300703049,182.0399933,1.399999976,8.399999619
35.67831471,65.05924833,25.46965667,23.61567377,1.365043283,173.7400055,1.5,8.100000381
36.67831471,65.05923167,25.46966,23.71568047,1.403132796,178.8500061,1.5,8.100000381
37.67931471,65.059215,25.46966333,23.11568717,1.444310546,170.8999939,1.600000024,8.199999809
38.67931471,65.05919833,25.46967333,22.5156946,1.504018307,171.0500031,1.600000024,8.100000381
39.67931471,65.05918167,25.46967,22.41570057,1.531298637,174.9799957,1.600000024,7.900000095
40.67931471,65.05916667,25.46965833,22.21570498,1.529239774,173.9900055,1.600000024,8.300000191
41.67931471,65.059155,25.46965667,21.91570922,1.526151419,183.6699982,1.5,8.100000381
42.67931471,65.05914333,25.46964833,21.81571274,1.516371608,177.0399933,1.600000024,8.199999809
43.67931471,65.05913333,25.469645,21.61571617,1.507621408,183.8699951,1.600000024,8.300000191
44.67931471,65.05912,25.46964667,21.81572142,1.486517787,179.9900055,1.600000024,8.199999809
45.67931471,65.05910833,25.46964167,22.4157253,1.432471991,175.4199982,1.600000024,8.100000381
46.67931471,65.05909333,25.46964167,22.81573099,1.394897223,175.4299927,1.600000024,8.5
47.67931471,65.05908,25.46964333,23.31573624,1.362469673,176.1000061,1.600000024,8.199999809
48.67931471,65.05906167,25.469645,23.81574339,1.357322454,178.6499939,1.600000024,8.399999619
49.67931471,65.059045,25.469645,24.21574972,1.380999684,179.0700073,1.700000048,8.5
50.67931471,65.05902833,25.46964333,24.71575587,1.470046639,182.0099945,1.700000048,8.399999619
51.67931471,65.05900833,25.46964833,24.91576402,1.518430591,177.5099945,1.700000048,8.600000381
52.67931471,65.05899333,25.469645,25.01576935,1.571446896,180.5,1.700000048,8.5
53.67931471,65.05898167,25.469645,24.81577378,1.584829688,166.9600067,1.700000048,8.699999809
54.67931471,65.05897167,25.46964833,24.31577795,1.60078609,179.5500031,1.700000048,8.5
55.67931471,65.05895667,25.469645,23.41578328,1.567843914,176.8600006,1.700000048,8.5
56.67931471,65.058945,25.46965,22.71578826,1.594609499,167.3500061,1.700000048,8.300000191
57.67931471,65.05893167,25.46965833,22.21579424,1.569388032,167.5399933,1.700000048,8.300000191
58.67931471,65.05891833,25.46966833,22.11580041,1.548284411,180.8399963,1.600000024,7.900000095
59.67931471,65.05890333,25.46967333,21.91580666,1.495268106,192.0299988,1.600000024,8.0
60.67931471,65.05889,25.46967667,21.71581209,1.372249484,188.3600006,1.700000048,8.199999809
61.67931471,65.05887833,25.46966833,21.5158156,1.270334482,191.1999969,1.600000024,8.399999619
62.67931471,65.05886833,25.46966667,21.21581922,1.171507835,186.5700073,1.600000024,8.0
63.67931471,65.05886,25.46966667,21.21582238,1.107682228,186.5099945,1.600000024,8.399999619
64.67931471,65.05884833,25.46966833,21.215827,1.091211081,172.4199982,1.600000024,8.300000191
65.67931471,65.05883167,25.46966833,20.81583333,1.167904735,177.7100067,1.700000048,8.0
66.67931471,65.05881333,25.46967,20.91584048,1.19209671,171.3399963,1.700000048,8.0
67.67931471,65.05879333,25.469675,21.21584862,1.219891667,166.5700073,1.700000048,7.900000095
68.67931471,65.05877667,25.46967833,21.31585532,1.21577394,167.8800049,1.600000024,7.800000191
69.67931471,65.05876,25.46968333,21.3158622,1.226583004,158.1999969,1.600000024,7.5
70.67931471,65.05874667,25.469685,21.21586745,1.256436944,171.2599945,1.5,7.099999905
71.67931471,65.05872833,25.46968333,21.01587423,1.279084682,172.1499939,1.600000024,7.400000095
72.67931471,65.058715,25.46967833,21.01587874,1.337763071,170.3699951,1.5,7.400000095
73.67931471,65.05870167,25.46968167,20.91588417,1.397985578,176.3800049,1.5,7.300000191
74.67931471,65.05868667,25.46967833,20.91588951,1.380999684,185.1499939,1.5,7.199999809
75.67931471,65.05867167,25.46967333,21.11589465,1.352175236,183.5599976,1.5,7.199999809
76.67931471,65.05865833,25.469675,21.4158999,1.315629959,180.6100006,1.399999976,7.300000191
77.67931471,65.058645,25.46968,21.71590551,1.26570189,176.6600037,1.5,7.300000191
78.67931471,65.05863333,25.469685,21.9159105,1.26570189,182.2899933,1.5,7.300000191
79.67931471,65.05862,25.46968667,22.11591574,1.285261393,181.9299927,1.5,7.400000095
80.67931471,65.05860667,25.46968667,22.31592081,1.316659451,185.5200043,1.5,7.5
81.67931471,65.05859167,25.46968167,22.31592596,1.334674716,193.4400024,1.5,7.5
82.67931471,65.05857667,25.46967333,22.21593074,1.387176394,194.7899933,1.5,7.300000191
83.67931471,65.05855833,25.469665,22.21593679,1.372249484,204.3699951,1.700000048,7.300000191
84.67931471,65.05854333,25.46966167,22.01594212,1.358351946,193.0599976,1.700000048,7.300000191
85.67931471,65.05852667,25.46966333,21.91594863,1.365043283,187.3399963,1.600000024,7.400000095
86.67931471,65.05851,25.469665,22.21595514,1.356293082,177.7799988,1.600000024,7.400000095
87.67931471,65.05849833,25.46967167,22.31596031,1.368646383,169.7200012,1.5,7.199999809
88.67931471,65.05848667,25.46967667,22.51596529,1.334674716,171.1900024,1.5,7.300000191
89.67931471,65.058475,25.46967667,22.61596972,1.300188303,177.4799957,1.5,7.599999905
90.67931471,65.05846,25.46967667,22.61597542,1.304306149,177.4400024,1.5,7.800000191
91.67931471,65.05844333,25.46968,22.61598211,1.341366053,170.8600006,1.600000024,7.800000191
92.67931471,65.05842167,25.46969,22.91599144,1.359896064,170.1100006,1.600000024,8.0
93.67931471,65.0584,25.46970333,23.11600113,1.434530854,173.3999939,1.600000024,8.100000381
94.67931471,65.05837667,25.46971333,23.31601109,1.541078329,169.7299957,1.600000024,8.0
95.67931471,65.05835833,25.469725,23.41601934,1.53593111,161.0099945,1.600000024,7.900000095
96.67931471,65.05833667,25.46974167,23.71602939,1.616227746,157.1600037,1.600000024,7.900000095
97.67931471,65.058315,25.46975833,23.91603945,1.667700052,155.5899963,1.5,7.900000095
98.67931471,65.05830167,25.46976667,23.61604543,1.675935507,157.1999969,1.5,7.900000095
99.67931471,65.05828833,25.46978,23.71605195,1.680053353,144.0200043,1.399999976,7.800000191
100.6793147,65.05827667,25.4698,24.01605858,1.627551675,143.2799988,1.399999976,7.900000095
101.6793147,65.05826833,25.46982167,24.01606412,1.57710886,127.6999969,1.399999976,8.0
102.6793147,65.05826167,25.46984667,24.01606939,1.460781693,139.5200043,1.399999976,8.199999809
103.6793147,65.05826,25.46987,23.71607258,1.332615852,106.2799988,1.399999976,8.399999619
104.6793147,65.05825667,25.46990167,23.61607732,1.250260234,97.94999695,1.399999976,8.5
105.6793147,65.058255,25.46994,23.01608215,1.238421679,105.3700027,1.399999976,8.699999809
106.6793147,65.058255,25.46997667,22.61608617,1.177684426,95.13999939,1.399999976,8.800000191
107.6793147,65.058255,25.47000667,22.31608946,1.129815221,102.9599991,1.399999976,8.699999809
108.6793147,65.05825333,25.470035,22.0160932,1.148345232,109.4000015,1.399999976,8.800000191
109.6793147,65.05825,25.47006667,21.71609794,1.158125043,102.5500031,1.399999976,9.0
110.6793147,65.05824667,25.47010333,21.31610322,1.190037727,99.76000214,1.399999976,8.800000191
111.6793147,65.058245,25.47013833,21.21610769,1.207023621,98.75,1.399999976,8.899999619
112.6793147,65.058245,25.47016833,20.91611098,1.259525299,88.12999725,1.399999976,8.399999619
113.6793147,65.05824667,25.47020667,20.91611455,1.392323613,95.70999908,1.399999976,8.5
114.6793147,65.058245,25.47024167,21.01611902,1.390779495,94.90000153,1.399999976,8.399999619
115.6793147,65.05824333,25.47026833,21.21612258,1.333130598,120.5,1.399999976,8.300000191
116.6793147,65.05824,25.470285,21.11612567,1.255407453,119.25,1.399999976,8.399999619
117.6793147,65.058235,25.47030667,20.81612994,1.23070085,127.0199966,1.399999976,8.300000191
118.6793147,65.05823,25.470325,20.71613385,1.170478344,132.1799927,1.399999976,7.699999809
119.6793147,65.05822333,25.47033833,20.51613784,1.143712759,141.6900024,1.399999976,8.100000381
120.6793147,65.05821333,25.47035167,20.31614309,1.101505518,145.6799927,1.399999976,8.199999809
121.6793147,65.05820167,25.47035667,20.21614806,1.07010746,155.9299927,1.5,7.900000095
122.6793147,65.05819,25.47034833,20.31615157,1.030988574,179.2700043,1.600000024,8.199999809
123.6793147,65.05817833,25.470335,20.01615454,0.9630452991,187.2299957,1.5,8.199999809
124.6793147,65.05816333,25.47032167,20.11615877,0.9146614075,190.3500061,1.5,8.300000191
125.6793147,65.05814833,25.470305,20.11616263,0.9671630263,178.1999969,1.600000024,7.900000095
126.6793147,65.05813,25.47029333,20.31616831,1.008855581,175.4100037,1.5,8.100000381
127.6793147,65.05811167,25.47028333,20.51617416,1.087608099,169.6600037,1.5,8.0
128.6793147,65.05808833,25.47027333,20.91618192,1.17099309,173.4100037,1.5,7.800000191
129.6793147,65.05806833,25.47025833,21.21618786,1.272393346,183.8399963,1.5,7.900000095
130.6793147,65.05805,25.47023833,21.61619263,1.30173254,180.4700012,1.5,7.699999809
131.6793147,65.05803333,25.470215,22.0161964,1.333645225,186.3600006,1.5,7.699999809
132.6793147,65.05801833,25.47019667,22.31620008,1.39644134,195.4799957,1.5,7.800000191
133.6793147,65.05799833,25.47017833,22.71620566,1.384602785,194.6100006,1.600000024,7.900000095
134.6793147,65.05798167,25.47016167,23.11621016,1.42269218,188.7400055,1.5,7.800000191
135.6793147,65.057965,25.47015167,23.51621539,1.440707445,176.0599976,1.5,8.100000381
136.6793147,65.05794833,25.47014167,24.01622062,1.457178593,171.4600067,1.5,7.900000095
137.6793147,65.05793667,25.470135,24.41622432,1.385117531,176.3399963,1.5,8.0
138.6793147,65.057925,25.47013167,24.61622839,1.33673358,178.6000061,1.5,8.300000191
139.6793147,65.05791,25.47012833,24.91623371,1.299158931,177.4499969,1.5,8.100000381
140.6793147,65.057895,25.47012833,25.0162394,1.28062892,171.7599945,1.5,7.900000095
141.6793147,65.05788333,25.470125,25.11624347,1.19209671,189.6199951,1.5,8.100000381
142.6793147,65.057875,25.47011833,25.0162459,1.067533851,195.2100067,1.5,8.100000381
143.6793147,65.05786667,25.47011333,24.61624852,1.001649499,182.4199982,1.5,8.100000381
144.6793147,65.057855,25.470115,24.21625312,0.9769427776,174.7100067,1.5,7.699999809
145.6793147,65.05784167,25.47011167,23.91625782,0.9306177497,176.0200043,1.5,7.900000095
146.6793147,65.05782833,25.47010833,23.71626252,0.9095141888,176.8500061,1.399999976,7.800000191
147.6793147,65.05781333,25.470105,23.41626784,0.9146614075,191.4499969,1.399999976,7.5
148.6793147,65.05779833,25.47010167,23.31627317,0.9362797141,176.8000031,1.5,7.599999905
149.6793147,65.05778167,25.47009833,23.11627913,0.9398827553,183.6000061,1.5,7.599999905
150.6793147,65.05776667,25.4701,22.91628501,0.9311324954,188.3500061,1.5,7.400000095
151.6793147,65.05775333,25.47009833,22.71628988,1.021723628,191.9900055,1.5,7.5
